language,real_value,language_family,simulated_mean,simulated_sd,zscore
Batak_Toba,0.51305,Austronesian,0.3850375,0.10062604549609501,1.2721606952642077
Batanga,2.9183,Atlantic-Congo,2.06255805,0.07051228568504947,12.136068795475747
Bats_Tsova_Tush_,0.91829,Nakh-Daghestanian,0.30578447,0.040965808797209284,14.951627905897121
Baure,0,Arawakan,0,0,NA
Belarusian,0.9183,Indo-European,0.14627902,0.06996992668196444,11.033611390063058
Bemba,0.98523,Atlantic-Congo,0.32431834,0.06840931642560256,9.661135274151784
Bena_Tanzania_,1.23034,Atlantic-Congo,0.45864318,0.09590613960691934,8.04637558307398
Bende,0.98523,Atlantic-Congo,0.38244465,0.05261345145446601,11.456867651453676
Bengali,2.4183,Indo-European,1.19461737,0.10378202374127678,11.790891966517993
Bera,0.9183,Atlantic-Congo,0.30348091,0.05153348284101925,11.930478130048309
Berik,0,Other,0,0,NA
Bezhta,0.91829,Nakh-Daghestanian,0.39029538,0.07480465353202062,7.058312485519213
Biak,0,Austronesian,0,0,NA
Bierebo,0,Austronesian,0,0,NA
Big_Nambas,0,Austronesian,0,0,NA
Big_Nambas,1.24696,Austronesian,0.51736694,0.14084394878568957,5.180151978770211
Bihari,0,Indo-European,0,0,NA
Bila,1.58496,Atlantic-Congo,0.48162629,0.09046151048493008,12.196719953994174
Bilibil,1.58219,Austronesian,0.42007682,0.10104402980902755,11.5010573330892
Bilua,0.11823,Other,0.06828721,0.037967055738328426,1.3154243601139146
Bindal,0,Pama-Nyungan,0,0,NA
Bininj_Kun-wok,0,Other,0,0,NA
Binukid_(Talaandig-Binukid),0.88654,Austronesian,0.35668026,0.08535091565962451,6.20801471085625
Birhor,0.72193,Austroasiatic,0.24383871,0.14382173864385886,3.3241935086314176
Biri,1.52193,Pama-Nyungan,0.34968024,0.10171909492821599,11.524382524512891
Bit,0.44759,Austroasiatic,0.23560857999999998,0.03674891472842861,5.768372251712054
Blagar,0.74249,Other,0.108067,0.06703346063157,9.464273424386104
Boano_(Sulawesi),0.99679,Austronesian,0.09527496,0.06335600348487881,14.22935460591615
Boers,0.9183,Indo-European,0.14818633,0.07381587980334747,10.432899696537602
Bontok,0.88654,Austronesian,0.10480743000000001,0.05227693053691524,14.953681518236447
Breton,0.9183,Indo-European,0.14759213,0.07221463453209262,10.672460990680397
Brooke's_Point_Palawano,0,Austronesian,0,0,NA
Brunei-Sabah_Malay_(Malay),0.88654,Austronesian,0.14327419,0.0508004600322023,14.631084236812923
Budukh,0.54085,Nakh-Daghestanian,0.22863228,0.03592096847215533,8.691795719316984
Budza,0,Atlantic-Congo,0,0,NA
Buhid,0.88654,Austronesian,0.10531833,0.051470049342218334,15.17817993151218
Buin,0.99679,Other,0.47429373,0.1254597253084095,4.164653387496117
Bukat,0.88654,Austronesian,0.04829416,0.04501745090940602,18.620464354743273
Bukusu,0.45915,Atlantic-Congo,0.20238471,0.07270650831712087,3.531531027182296
Bulgarian,0.91829,Indo-European,0.3898844,0.07520063701756687,7.026610690499397
Buli,0.84535,Austronesian,0.20709503,0.07094515858129592,8.996455611112982
Bunganditj,1.93002,Pama-Nyungan,0.66640658,0.09581438387978009,13.188139075083726
Bungku,0.88654,Austronesian,0.10555966,0.05381841168150841,14.511397040510186
Bunun,0,Austronesian,0,0,NA
Burmese,0,Sino-Tibetan,0,0,NA
Buru_(Indonesia),0,Austronesian,0,0,NA
Bushoong,0.91829,Atlantic-Congo,0.16578125,0.08592539256951769,8.757699295830218
Butmas-Tur,0.04796,Austronesian,0.04962777,0.03425194777313187,-0.048691245562047764
Bwaidoga,0,Austronesian,0,0,NA
Cahuilla,1.6391,Uto-Aztecan,0.80501565,0.11938261811539226,6.9866481667690925
