language,family,code,average_edit_distance,sample_mean,sd,z
Ekonda_Mongo,Atlantic-Congo,ekon1238,5.473684210526316,5.049710526315789,0.12531222599974015,-3.383338543610308
Fang_EG,Atlantic-Congo,fang1246,5.458333333333333,5.847416666666667,0.13004404300000233,2.9919350733606973
Fefe,Atlantic-Congo,fefe1239,14.285714285714286,11.29875,0.7582543522281141,-3.9392642810913725
Fipa,Atlantic-Congo,fipa1238,8.1,7.952775,0.11159806675522432,-1.3192432833349916
Ganda,Atlantic-Congo,gand1255,7.857142857142857,6.909821428571429,0.4614422699637796,-2.0529576292301672
Giryama,Atlantic-Congo,giry1241,5.954545454545454,6.371954545454545,0.15549317179085717,2.6844207118658456
Gogo,Atlantic-Congo,gogo1263,4.944444444444445,5.286305555555556,0.15318421231609639,2.2316993764715063
Gusii,Atlantic-Congo,gusi1247,7.333333333333333,6.946916666666667,0.12369974946177455,-3.123827399392398
Haya,Atlantic-Congo,haya1250,8.75,8.361854166666667,0.22960403462826756,-1.6905009267879232
Ha,Atlantic-Congo,haaa1252,7.95,7.87095,0.14395509914751395,-0.5491295582311831
Hehe,Atlantic-Congo,hehe1240,9.266666666666667,9.174733333333334,0.13402156377738303,-0.6859592646302769
Herero,Atlantic-Congo,here1253,6.454545454545454,6.419113636363637,0.07635079980315199,-0.46406610373654095
Igbo,Atlantic-Congo,nucl1417,6.9,6.8195,0.5208224323183536,-0.15456323500059024
Kagulu,Atlantic-Congo,kagu1239,8.0625,8.01765625,0.08897133975463803,-0.5040246682096567
Kamba,Atlantic-Congo,kamb1297,5.291666666666667,5.325708333333333,0.07290562502795153,0.46692784889526334
Kaonde,Atlantic-Congo,kaon1241,3.857142857142857,3.857142857142857,0.0,0.0
Kerewe,Atlantic-Congo,kere1283,6.5,6.5,0.0,0.0
Kikuyu,Atlantic-Congo,kiku1240,9.916666666666666,9.4374375,0.22736230293053689,-2.107777588851566
Komo_DRC_,Atlantic-Congo,komo1260,5.041666666666667,4.215979166666667,0.1250908755834636,-6.600701259374283
Kom,Atlantic-Congo,komc1235,14.75,16.294625,0.27585934754803876,5.599320863075033
Kota,Atlantic-Congo,kota1274,6.111111111111111,5.375055555555556,0.3910280038736275,-1.8823602101741883
Kwasio,Atlantic-Congo,kwas1243,4.521739130434782,3.852391304347826,0.11769126172166572,-5.6873196556421695
Kwere,Atlantic-Congo,kwer1261,7.115384615384615,6.776115384615385,0.1588047394652867,-2.1363923514599605
Lala_Bisa,Atlantic-Congo,lala1264,4.0,4.0,0.0,0.0
Lamba,Atlantic-Congo,lamb1271,6.7,6.300175,0.10049598906831465,-3.978516990645357
Langi,Atlantic-Congo,lang1320,6.2727272727272725,6.114477272727273,0.09410511469338118,-1.6816301697906564
Lingala,Atlantic-Congo,ling1263,7.375,6.804895833333333,0.22436034921290757,-2.5410201431165738
Lozi,Atlantic-Congo,lozi1239,8.75,8.52659375,0.12373767882742548,-1.8054827932531397
Luba_Katanga,Atlantic-Congo,luba1250,4.285714285714286,4.285714285714286,0.0,0.0
Luba_Lulua,Atlantic-Congo,luba1249,5.083333333333333,5.123729166666666,0.07005884055881885,0.5765986563739707
Luguru,Atlantic-Congo,lugu1238,6.9,6.949525,0.17503867547748672,0.2829374700471262
Lunda,Atlantic-Congo,lund1266,7.125,7.39221875,0.1911233337786157,1.398148225634907
Luvale,Atlantic-Congo,luva1239,5.28125,6.01990625,0.18447581745492594,4.004081728384157
Makonde,Atlantic-Congo,mako1251,7.5,7.5,0.0,0.0
Masaaba,Atlantic-Congo,masa1299,14.625,10.48740625,1.056767694485664,-3.9153295199980493
Mbala,Atlantic-Congo,mbal1257,5.543478260869565,5.754891304347826,0.08691673100568566,2.4323630333546578
Mbere,Atlantic-Congo,mber1257,6.444444444444445,6.345,0.07996858897176896,-1.2435438179302054
Mbuun,Atlantic-Congo,mpuo1241,5.5,5.232395833333333,0.04911779674682913,-5.4482119392690835
Meru,Atlantic-Congo,meru1245,10.25,9.775145833333333,0.4725883247683403,-1.0047945363428883
Meta,Atlantic-Congo,meta1238,6.6,6.6,0.0,0.0
Mokpwe,Atlantic-Congo,mokp1239,6.75,6.527791666666666,0.11320759717121243,-1.9628394108327472
Mongo,Atlantic-Congo,mong1338,6.375,6.015479166666666,0.20485390144419785,-1.7550109165544359
Amazulu_(Amazulu_Kafir),Atlantic-Congo,zulu1248,10.625,10.625,0.0,0.0
Mungaka,Atlantic-Congo,mung1266,8.125,8.125,0.0,0.0
Myene,Atlantic-Congo,myen1241,8.826086956521738,9.003652173913043,0.18214742463333827,0.9748434146062853
Ngoni,Atlantic-Congo,ngon1269,5.0,5.0,0.0,0.0
Ngulu,Atlantic-Congo,ngul1246,6.555555555555555,6.665861111111111,0.12720624029325311,0.8671394996131031
Njebi,Atlantic-Congo,njeb1242,6.4,5.8449,0.6305010083429855,-0.8804109631146413
Nsong,Atlantic-Congo,song1299,5.5,5.852729166666666,0.08369810627799354,4.214302836137264
Nyakyusa,Atlantic-Congo,nyak1260,9.272727272727273,8.517545454545454,0.4889665326873303,-1.5444447987705543
Nyoro,Atlantic-Congo,nyor1246,6.804347826086956,7.785565217391304,0.3297974787092441,2.9752119244350212
Phende,Atlantic-Congo,phen1239,5.0,4.782041666666666,0.05140662316077262,-4.239888168722457
Pinji,Atlantic-Congo,pinj1243,4.0,4.1150714285714285,0.21928808868077132,0.524750018405896
Pokomo,Atlantic-Congo,poko1261,5.0,5.0,0.0,0.0
Punu,Atlantic-Congo,punu1239,2.5,3.23425,0.29019157232533244,2.5302250996346496
Rundi,Atlantic-Congo,rund1242,7.9,9.1918,0.27783079373955283,4.6495925905570195
Sakata,Atlantic-Congo,saka1287,4.25,3.99825,0.0752772652709081,-3.344303211520784
Sake,Atlantic-Congo,sake1247,5.333333333333333,6.262333333333333,0.4921394123632055,1.8876764930063876
Sango,Atlantic-Congo,sang1331,4.357142857142857,4.962285714285715,0.20244990876114044,2.9890991843164167
Sangu_Tanzania_,Atlantic-Congo,sang1330,5.4,5.5296666666666665,0.16299219412055635,0.7955391199333072
San_Salvador_Kongo,Atlantic-Congo,sans1272,11.1,13.374075,0.45877308347059453,4.956862296272354
Seki,Atlantic-Congo,seki1238,5.0,5.1530000000000005,0.2718218338021319,0.5628686918188266
Shi,Atlantic-Congo,shii1238,7.375,7.35915625,0.07398767684393302,-0.21414039034392712
Soga,Atlantic-Congo,soga1242,7.166666666666667,6.3811875,0.22336573025940087,-3.5165607801808623
Songoora,Atlantic-Congo,song1300,7.214285714285714,7.214285714285714,0.0,0.0
Sukuma,Atlantic-Congo,suku1261,4.5,4.5,0.0,0.0
Suku,Atlantic-Congo,suku1259,7.208333333333333,7.623895833333333,0.16460260385023565,2.5246411070027865
Sumbwa,Atlantic-Congo,sumb1240,5.75,5.75,0.0,0.0
Suundi,Atlantic-Congo,suun1239,4.9,5.28995,0.25031811092419315,1.5578177646047076
Taabwa,Atlantic-Congo,shil1264,8.5,9.24225,0.17945690616429047,4.136090473556253
Temi,Atlantic-Congo,temi1247,7.166666666666667,7.166666666666667,0.0,0.0
Tetela,Atlantic-Congo,tete1250,9.090909090909092,10.673363636363636,0.28008954395330576,5.649816566227684
Tiv,Atlantic-Congo,tivv1240,10.3,7.193033333333333,0.6134855309776598,-5.06444978696622
Tonga_Nyasa_,Atlantic-Congo,tong1321,9.333333333333334,9.196791666666666,0.04782760906131376,-2.8548712625718964
Tooro,Atlantic-Congo,toor1238,4.416666666666667,5.467458333333333,0.2739286589133436,3.8360048592034337
Tsogo,Atlantic-Congo,tsog1243,4.833333333333333,4.833333333333333,0.0,0.0
Tsonga,Atlantic-Congo,tson1249,9.0,8.510833333333334,0.2608666033014793,-1.8751601794781827
Tswana,Atlantic-Congo,tswa1253,6.925,9.69535,0.388652387331119,7.128092069687335
Umbundu,Atlantic-Congo,umbu1257,5.3125,5.52,0.09327645668855765,2.224569922213328
Venda,Atlantic-Congo,vend1245,6.083333333333333,6.149166666666667,0.02235632708913696,2.944729385594048
Yaka_CAR_,Atlantic-Congo,yaka1272,8.636363636363637,6.930181818181818,0.42197853507718147,-4.04329053815439
Yaka_Pelende_Lonzo,Atlantic-Congo,yaka1269,6.0625,6.27534375,0.1370037190826584,1.5535618406941587
Yansi,Atlantic-Congo,yans1239,9.4,9.4322,0.21691060419032113,0.14844825185101013
Yombe,Atlantic-Congo,yomb1244,4.75,7.1013,0.3703737797640874,6.348451560198672
Zigula,Atlantic-Congo,zigu1242,4.25,4.4980625,0.08215283885954693,3.019524382159223
Zinza,Atlantic-Congo,zinz1238,6.25,6.25,0.0,0.0
Birhor,Austroasiatic,birh1242,3.8,3.99885,0.11937515624252781,1.6657569820977474
Bit,Austroasiatic,bitt1240,7.5,7.407975,0.1017097303321774,-0.9047806901016441
O_du,Austroasiatic,oduu1239,8.0,7.57071875,0.1995958456168991,-2.150752430107964
Pacoh,Austroasiatic,paco1243,2.9285714285714284,2.9285714285714284,0.0,0.0
Prai,Austroasiatic,phai1238,9.9,10.14105,0.05070718606586962,4.7537640855651295
'Are'are,Austronesian,area1240,7.333333333333333,7.4127,0.06276397041814138,1.2645259077447843
Achinese,Austronesian,achi1257,4.0,4.0,0.0,0.0
Aklanon,Austronesian,akla1241,14.152173913043478,14.212304347826088,0.0691063307353793,0.8701147079109062
Alangan,Austronesian,alan1249,11.934782608695652,10.280804347826088,0.4045759416501769,-4.088177497958353
Amis,Austronesian,amis1246,2.5,2.5,0.0,0.0
Ampibabo_Lauje,Austronesian,ampi1237,19.32608695652174,24.286565217391303,0.8204329327578674,6.046171555053287
Anejom,Austronesian,anei1239,6.6521739130434785,5.776869565217392,0.193995325126788,-4.511986808207987
Aniwa,Austronesian,aniw1237,13.033333333333333,13.419933333333333,0.8778268102522767,0.4404057787764485
