language,family,code,correlation,mean,sd,z
Bushoong,Atlantic-Congo,bush1247,-0.016578723219904237,-0.0004893546791516506,0.01678454659596989,-0.9585822559315235
Chokwe,Atlantic-Congo,chok1245,-0.06881673329209256,-0.0009881520294516266,0.01691347774343601,-4.010327284048054
Digo,Atlantic-Congo,digo1243,-0.07546721473324099,0.001240152113612714,0.017351243056669307,-4.420857145296552
Ding,Atlantic-Congo,ding1239,-0.12180269581448802,0.0006923552320672324,0.016555362185240636,-7.399116351302873
Duala,Atlantic-Congo,dual1243,-0.1509767279878434,-0.0013964021604433968,0.01942895414310758,-7.698835702922466
Duma,Atlantic-Congo,duma1253,,,,
Ekonda_Mongo,Atlantic-Congo,ekon1238,-0.11866619623386093,1.3010148440847358e-05,0.01885640276924792,-6.293841292775656
Fang_EG,Atlantic-Congo,fang1246,-0.059698975786624836,0.00026939318842500513,0.01676531037023732,-3.576931631490039
Fefe,Atlantic-Congo,fefe1239,-0.2821198055151266,0.00044936574285414356,0.025515504115833715,-11.074410678902938
Fipa,Atlantic-Congo,fipa1238,-0.08061893883591664,0.0006327244598220693,0.019986745049532028,-4.065277417327198
Ganda,Atlantic-Congo,gand1255,0.03149095880882902,-0.0005151003914188653,0.02737299237431554,1.1692568632094318
Giryama,Atlantic-Congo,giry1241,-0.02324176563649499,-0.0010741244386826571,0.01856539799876363,-1.1940299475017229
Gogo,Atlantic-Congo,gogo1263,-0.055290242959440045,0.00029148352416062293,0.018518841276361633,-3.0013609196244873
Gusii,Atlantic-Congo,gusi1247,-0.2082173379359556,-0.000190957642582935,0.02805002355788172,-7.416264013615053
Haya,Atlantic-Congo,haya1250,-0.14570619420226633,0.00019124394446884294,0.01670119361276157,-8.735749164374294
Ha,Atlantic-Congo,haaa1252,-0.04378953337848367,-0.0006518796344500118,0.018032441028655602,-2.3922248615971076
Hehe,Atlantic-Congo,hehe1240,-0.0972515187369629,0.00018334296758990554,0.020730792021003915,-4.700006714930827
Herero,Atlantic-Congo,here1253,-0.1491228341154454,0.000475367865128931,0.017708242644133895,-8.447941728996517
Igbo,Atlantic-Congo,nucl1417,0.014208738865407473,0.0009526206537193465,0.029772048789170412,0.4452538119079679
Kagulu,Atlantic-Congo,kagu1239,-0.12886284591630706,-0.0005214324528277451,0.021130772522989012,-6.0736735168509135
Kamba,Atlantic-Congo,kamb1297,-0.12061380558170444,-0.0008705741402755587,0.01673989284860711,-7.153165944631029
Kaonde,Atlantic-Congo,kaon1241,-0.06937113968165567,-0.0022141661529512468,0.03737169949110739,-1.7970007905229048
Kerewe,Atlantic-Congo,kere1283,-0.08320740004875224,-0.0006298337920357013,0.06407486353242887,-1.2887669470403675
Kikuyu,Atlantic-Congo,kiku1240,-0.10977137351959812,0.0005717842026582898,0.016486795311568516,-6.692820262336271
Komo_DRC_,Atlantic-Congo,komo1260,-0.11379321287247118,-0.0004095772945249831,0.016900056670697463,-6.709068365110214
Kom,Atlantic-Congo,komc1235,-0.2095274285017948,-0.0003486641572218855,0.0196951532400227,-10.620824412754446
Kota,Atlantic-Congo,kota1274,-0.1582507002250185,0.0005885309991051224,0.036216254380649085,-4.385854747833722
Kwasio,Atlantic-Congo,kwas1243,-0.07623871386061959,-0.0014716237559820008,0.01751304122480491,-4.269223668516229
Kwere,Atlantic-Congo,kwer1261,-0.08494303916691545,0.0007428763442323005,0.024194227305533944,-3.5415851239666916
Kélé,Atlantic-Congo,kele1257,,,,
Lala_Bisa,Atlantic-Congo,lala1264,0.01238335034605385,-0.00020295560242301568,0.03533293701900592,0.35622020161263623
Lamba,Atlantic-Congo,lamb1271,-0.11367464503387004,0.00011505480076827718,0.018127960378796805,-6.277027170013641
Langi,Atlantic-Congo,lang1320,-0.057222646510220826,-0.0004876207342162305,0.017558649908612396,-3.2311724461330287
Lingala,Atlantic-Congo,ling1263,-0.07628951830271752,-0.0013527501376241872,0.016932390319803408,-4.425646158029469
Lozi,Atlantic-Congo,lozi1239,-0.10801515598056054,-0.00034596687017207205,0.023584291318251172,-4.565292535505042
Luba_Katanga,Atlantic-Congo,luba1250,0.06720118885775728,0.0002617140188854249,0.03792110132602467,1.7652302411621232
Luba_Lulua,Atlantic-Congo,luba1249,-0.11494018107817458,-6.207489353373901e-05,0.01645494074765116,-6.981374648890119
Luguru,Atlantic-Congo,lugu1238,-0.09185241832873753,2.7007948438272534e-05,0.017939057434327912,-5.121753281270882
Lunda,Atlantic-Congo,lund1266,-0.019878740526566595,0.0005419166396330184,0.021355229798866258,-0.9562368262262266
Luvale,Atlantic-Congo,luva1239,-0.027868081901874144,0.00023453627254869401,0.02145705944021628,-1.3097143274791418
Makonde,Atlantic-Congo,mako1251,-0.13456258776630997,0.0003220564348070295,0.01667435669441302,-8.08934621425677
Masaaba,Atlantic-Congo,masa1299,-0.013987069238022908,-6.202293681224469e-05,0.0192571457328472,-0.7231106049874518
Mbala,Atlantic-Congo,mbal1257,-0.11152578363744584,-0.00010625389909838701,0.01672406698650197,-6.6622269468469835
Mbere,Atlantic-Congo,mber1257,-0.0033208971296814797,-6.637337533921172e-05,0.043014642352523724,-0.07566083492383893
Mbuun,Atlantic-Congo,mpuo1241,-0.11827419561612934,0.0003066409104000571,0.01730085552908561,-6.8540446642754365
Meru,Atlantic-Congo,meru1245,0.0025337934022755795,-0.00047572842970316516,0.016415557031245764,0.18333351870121428
Meta,Atlantic-Congo,meta1238,-0.1164154928999162,0.0010898257963452042,0.09435551678669017,-1.2453465647579045
Mokpwe,Atlantic-Congo,mokp1239,-0.03746839486709094,-0.0011406822777609603,0.01714349479822186,-2.1190377467899912
Mongo,Atlantic-Congo,mong1338,-0.11278202769557946,-0.00017948702163133804,0.01704453651173892,-6.606371525350451
Mungaka,Atlantic-Congo,mung1266,-0.23269742816461103,-0.00015006984402495815,0.03594415122535516,-6.469685620411761
Myene,Atlantic-Congo,myen1241,0.007837857241388965,-0.0003937772240894314,0.017525867010453954,0.4696848641250291
Ndumu,Atlantic-Congo,ndum1239,,,,
Ngombe_Binja,Atlantic-Congo,binj1250,,,,
Ngoni,Atlantic-Congo,ngon1269,-0.2001995012082741,0.0011891002350628357,0.04421432660242996,-4.55482683823729
Ngulu,Atlantic-Congo,ngul1246,-0.09267304587975897,-0.00010750638401597243,0.018607696198775767,-4.97458355440224
Njebi,Atlantic-Congo,njeb1242,-0.18948801967623075,-0.002993719681221872,0.05154150525661172,-3.61833243065957
Nsong,Atlantic-Congo,song1299,-0.03358108538567444,0.0001455583413229986,0.016905563800241215,-1.9950025994706084
Nyakyusa,Atlantic-Congo,nyak1260,0.042194660350501643,-0.0007624752576582865,0.027533200164652667,1.5601940693878598
Nyoro,Atlantic-Congo,nyor1246,-0.03146147995071599,-0.000601314515605065,0.01699410899000999,-1.8159331244287134
Oroko,Atlantic-Congo,orok1266,,,,
Phende,Atlantic-Congo,phen1239,-0.16265065470972,-0.00018648403303894002,0.01706607538527806,-9.519714814856012
Pinji,Atlantic-Congo,pinj1243,-0.02782854313111751,-0.001105749768475485,0.04676871705882855,-0.5713817920005901
Pokomo,Atlantic-Congo,poko1261,-0.1037565621886016,-0.0011839276425082664,0.088234238189502,-1.1625037700874863
Punu,Atlantic-Congo,punu1239,0.05898311560881635,-0.002298072927374267,0.06284457778104538,0.9751229254765349
Rundi,Atlantic-Congo,rund1242,-0.05060883670761194,-0.0005101288004311787,0.01894579127492347,-2.6443185813775485
Sakata,Atlantic-Congo,saka1287,-0.2165325617491669,0.0006991871242512147,0.022087213079166782,-9.83518147331664
Sake,Atlantic-Congo,sake1247,0.05628973637251479,-0.00020486640729933846,0.06168523037228338,0.915852991694402
Sango,Atlantic-Congo,sang1331,-0.07744480421276664,0.0021583122002477645,0.038874358446184344,-2.0477023826184255
Sangu,Atlantic-Congo,sang1333,,,,
